"value"	"n"	"column"
""	"26439654"	"dw_ek_forloeb"
"9276159"	"2076"	"dw_ek_forloeb"
"11910067"	"2052"	"dw_ek_forloeb"
"17887618"	"2016"	"dw_ek_forloeb"
"3632930"	"2004"	"dw_ek_forloeb"
"16282712"	"2004"	"dw_ek_forloeb"
"9859097"	"2001"	"dw_ek_forloeb"
"14979111"	"1932"	"dw_ek_forloeb"
"8406298"	"1926"	"dw_ek_forloeb"
"17384177"	"1884"	"dw_ek_forloeb"
"663496"	"1848"	"dw_ek_forloeb"
"9069640"	"1839"	"dw_ek_forloeb"
"4127817"	"1827"	"dw_ek_forloeb"
"21310639"	"1731"	"dw_ek_forloeb"
"15109284"	"1704"	"dw_ek_forloeb"
"10313722"	"1653"	"dw_ek_forloeb"
"5071083"	"1632"	"dw_ek_forloeb"
"11058568"	"1584"	"dw_ek_forloeb"
"19347035"	"1512"	"dw_ek_forloeb"
"15671742"	"1503"	"dw_ek_forloeb"
"7462607"	"1404"	"dw_ek_forloeb"
"8903430"	"1281"	"dw_ek_forloeb"
"6461796"	"1275"	"dw_ek_forloeb"
"1592127"	"1143"	"dw_ek_forloeb"
"12258875"	"1117"	"dw_ek_forloeb"
""	"1228433"	"dw_ek_kontakt"
"350863995"	"7305"	"dw_ek_kontakt"
"361274537"	"5176"	"dw_ek_kontakt"
"64790748"	"4994"	"dw_ek_kontakt"
"22736934"	"4874"	"dw_ek_kontakt"
"52808433"	"4796"	"dw_ek_kontakt"
"358461916"	"4588"	"dw_ek_kontakt"
"18317999"	"4370"	"dw_ek_kontakt"
"463898942"	"4146"	"dw_ek_kontakt"
"354756702"	"4138"	"dw_ek_kontakt"
"46039902"	"4012"	"dw_ek_kontakt"
"109227606"	"4004"	"dw_ek_kontakt"
"346983129"	"3808"	"dw_ek_kontakt"
"72836835"	"3672"	"dw_ek_kontakt"
"9345373"	"3404"	"dw_ek_kontakt"
"466449848"	"3212"	"dw_ek_kontakt"
"50239555"	"3124"	"dw_ek_kontakt"
"112256780"	"3118"	"dw_ek_kontakt"
"53393234"	"3116"	"dw_ek_kontakt"
"360250463"	"3100"	"dw_ek_kontakt"
"23160908"	"3030"	"dw_ek_kontakt"
"33093589"	"3000"	"dw_ek_kontakt"
"341674007"	"2970"	"dw_ek_kontakt"
"351888615"	"2940"	"dw_ek_kontakt"
"352371288"	"2864"	"dw_ek_kontakt"
"ZZ3160"	"1498342"	"procedurekode"
"ZZ3140"	"1483060"	"procedurekode"
"ZZ0253"	"1296833"	"procedurekode"
"BVAA33A"	"1097291"	"procedurekode"
"ALEA01"	"819840"	"procedurekode"
"ZZ0151"	"728426"	"procedurekode"
"APAA4"	"513086"	"procedurekode"
"BWAA0"	"415997"	"procedurekode"
"ZZ0240"	"395418"	"procedurekode"
"UXZ11"	"362134"	"procedurekode"
"ZZ0150"	"355891"	"procedurekode"
"TUL1"	"355641"	"procedurekode"
"TUL2"	"353713"	"procedurekode"
"BWW21"	"314533"	"procedurekode"
"BWDB0"	"305763"	"procedurekode"
"AAF22"	"302210"	"procedurekode"
"UXZ10"	"297771"	"procedurekode"
"BPHM00"	"272531"	"procedurekode"
"UXRC00"	"233499"	"procedurekode"
"AAF23"	"218900"	"procedurekode"
"ZZ5049"	"209067"	"procedurekode"
"BWAA6"	"205638"	"procedurekode"
"BWAA62"	"192654"	"procedurekode"
"ZZ0241"	"172474"	"procedurekode"
"BJFD20"	"167049"	"procedurekode"
"P"	"17499592"	"proceduretype"
"+"	"10168461"	"proceduretype"
"I"	"34"	"proceduretype"
"proceduretype"	"1"	"proceduretype"
""	"10596572"	"procedurekode_parent"
""	"6903054"	"procedurekode_parent"
"ZZ3160"	"2988386"	"procedurekode_parent"
"ZZ0253"	"1296683"	"procedurekode_parent"
"ZZ0240"	"394181"	"procedurekode_parent"
"BPHM00"	"269453"	"procedurekode_parent"
"UXCC00"	"174057"	"procedurekode_parent"
"ZZ0241"	"171972"	"procedurekode_parent"
"BWHB82"	"119382"	"procedurekode_parent"
"BOHJ19H8"	"116938"	"procedurekode_parent"
"ZZ0242"	"107928"	"procedurekode_parent"
"BWHA402"	"107242"	"procedurekode_parent"
"BBHF32"	"107104"	"procedurekode_parent"
"BWHB40A"	"96609"	"procedurekode_parent"
"BOHJ11"	"95722"	"procedurekode_parent"
"UXCD00"	"89765"	"procedurekode_parent"
"BVAA33A"	"77505"	"procedurekode_parent"
"BPHF1"	"70717"	"procedurekode_parent"
"UXCD10"	"63584"	"procedurekode_parent"
"BOHJ10"	"61866"	"procedurekode_parent"
"BPHG01"	"58396"	"procedurekode_parent"
"UXCD15"	"56689"	"procedurekode_parent"
"BOHE20"	"56403"	"procedurekode_parent"
"BOHJ1"	"56261"	"procedurekode_parent"
"UXCA00"	"55791"	"procedurekode_parent"
""	"10596572"	"proceduretype_parent"
"P"	"10168461"	"proceduretype_parent"
""	"6903054"	"proceduretype_parent"
"proceduretype_parent"	"1"	"proceduretype_parent"
"908581000016005"	"1363253"	"sorenhed_pro"
"682031000016001"	"875411"	"sorenhed_pro"
"239101000016008"	"564762"	"sorenhed_pro"
"1155451000016001"	"528124"	"sorenhed_pro"
"367331000016009"	"510825"	"sorenhed_pro"
"926901000016000"	"480822"	"sorenhed_pro"
"908591000016007"	"426644"	"sorenhed_pro"
"239121000016001"	"386269"	"sorenhed_pro"
"386451000016005"	"361752"	"sorenhed_pro"
"318621000016004"	"361606"	"sorenhed_pro"
"891791000016000"	"360599"	"sorenhed_pro"
"678401000016005"	"283711"	"sorenhed_pro"
"900661000016002"	"265351"	"sorenhed_pro"
"287481000016008"	"263288"	"sorenhed_pro"
"240911000016003"	"237691"	"sorenhed_pro"
"275501000016003"	"219314"	"sorenhed_pro"
"913271000016001"	"218720"	"sorenhed_pro"
"398861000016005"	"197998"	"sorenhed_pro"
"275721000016002"	"191666"	"sorenhed_pro"
"247601000016006"	"181972"	"sorenhed_pro"
"926911000016003"	"170724"	"sorenhed_pro"
"926171000016009"	"152669"	"sorenhed_pro"
"900251000016002"	"144959"	"sorenhed_pro"
"256221000016003"	"141170"	"sorenhed_pro"
"630691000016003"	"140986"	"sorenhed_pro"
"1082"	"9778167"	"region_pro"
"1083"	"7136984"	"region_pro"
"1084"	"5746535"	"region_pro"
"1081"	"2969698"	"region_pro"
"1085"	"2029336"	"region_pro"
"1087"	"3431"	"region_pro"
"1086"	"2458"	"region_pro"
"Ukendt"	"1478"	"region_pro"
"region_pro"	"1"	"region_pro"
"2022-06-07 00:00:00"	"27544"	"dato_start"
"2022-06-21 00:00:00"	"27249"	"dato_start"
"2023-04-13 00:00:00"	"26734"	"dato_start"
"2022-06-20 00:00:00"	"26733"	"dato_start"
"2022-06-08 00:00:00"	"26195"	"dato_start"
"2022-05-31 00:00:00"	"26091"	"dato_start"
"2023-04-11 00:00:00"	"26057"	"dato_start"
"2023-01-05 00:00:00"	"25942"	"dato_start"
"2022-11-28 00:00:00"	"25928"	"dato_start"
"2022-11-08 00:00:00"	"25888"	"dato_start"
"2023-01-04 00:00:00"	"25881"	"dato_start"
"2022-06-13 00:00:00"	"25621"	"dato_start"
"2022-06-14 00:00:00"	"25587"	"dato_start"
"2023-01-03 00:00:00"	"25572"	"dato_start"
"2022-05-30 00:00:00"	"25467"	"dato_start"
"2022-06-15 00:00:00"	"25446"	"dato_start"
"2022-11-21 00:00:00"	"25415"	"dato_start"
"2023-03-20 00:00:00"	"25321"	"dato_start"
"2023-01-09 00:00:00"	"25312"	"dato_start"
"2022-06-22 00:00:00"	"25236"	"dato_start"
"2022-11-07 00:00:00"	"25199"	"dato_start"
"2022-11-22 00:00:00"	"25199"	"dato_start"
"2023-01-17 00:00:00"	"25183"	"dato_start"
"2022-06-09 00:00:00"	"25177"	"dato_start"
