"value"	"n"	"column"
""	"1025737"	"dw_ek_forloeb"
"16984721"	"30"	"dw_ek_forloeb"
"16228670"	"27"	"dw_ek_forloeb"
"15015016"	"24"	"dw_ek_forloeb"
"8493253"	"18"	"dw_ek_forloeb"
"8329409"	"18"	"dw_ek_forloeb"
"13644764"	"18"	"dw_ek_forloeb"
"7983317"	"18"	"dw_ek_forloeb"
"19404489"	"15"	"dw_ek_forloeb"
"16204384"	"15"	"dw_ek_forloeb"
"6059471"	"15"	"dw_ek_forloeb"
"3601726"	"15"	"dw_ek_forloeb"
"6320309"	"15"	"dw_ek_forloeb"
"16433547"	"15"	"dw_ek_forloeb"
"20704920"	"15"	"dw_ek_forloeb"
"14224992"	"15"	"dw_ek_forloeb"
"17139409"	"15"	"dw_ek_forloeb"
"16937607"	"15"	"dw_ek_forloeb"
"21704543"	"15"	"dw_ek_forloeb"
"21202103"	"15"	"dw_ek_forloeb"
"14555916"	"15"	"dw_ek_forloeb"
"18442171"	"15"	"dw_ek_forloeb"
"16699703"	"12"	"dw_ek_forloeb"
"130741870"	"12"	"dw_ek_forloeb"
"16790622"	"12"	"dw_ek_forloeb"
""	"1876"	"dw_ek_kontakt"
"75912362"	"146"	"dw_ek_kontakt"
"110981853"	"92"	"dw_ek_kontakt"
"29375483"	"90"	"dw_ek_kontakt"
"76581744"	"88"	"dw_ek_kontakt"
"32447387"	"82"	"dw_ek_kontakt"
"335393191"	"78"	"dw_ek_kontakt"
"41670422"	"76"	"dw_ek_kontakt"
"347071965"	"74"	"dw_ek_kontakt"
"52935452"	"66"	"dw_ek_kontakt"
"7022143"	"64"	"dw_ek_kontakt"
"71845519"	"62"	"dw_ek_kontakt"
"351199441"	"60"	"dw_ek_kontakt"
"357481506"	"58"	"dw_ek_kontakt"
"1411620"	"58"	"dw_ek_kontakt"
"51091697"	"58"	"dw_ek_kontakt"
"32407425"	"56"	"dw_ek_kontakt"
"77661320"	"56"	"dw_ek_kontakt"
"499188483"	"55"	"dw_ek_kontakt"
"39507950"	"54"	"dw_ek_kontakt"
"352813311"	"54"	"dw_ek_kontakt"
"350546726"	"54"	"dw_ek_kontakt"
"118615881"	"52"	"dw_ek_kontakt"
"326165348"	"52"	"dw_ek_kontakt"
"341818088"	"52"	"dw_ek_kontakt"
"TUL1"	"114785"	"procedurekode"
"TUL2"	"98982"	"procedurekode"
"KTNE20A"	"54570"	"procedurekode"
"KTNE25A"	"54567"	"procedurekode"
"KCKD05B"	"41516"	"procedurekode"
"APAA4"	"37283"	"procedurekode"
"KUJF32"	"23808"	"procedurekode"
"KUDQ12"	"22644"	"procedurekode"
"KTAB00"	"21021"	"procedurekode"
"KWAA01"	"20430"	"procedurekode"
"KUKC02"	"15133"	"procedurekode"
"KCJE20"	"14963"	"procedurekode"
"KUJD02"	"13812"	"procedurekode"
"ZPY1A0"	"13017"	"procedurekode"
"MS01LA05"	"12927"	"procedurekode"
"KUDB22"	"12700"	"procedurekode"
"KUDB02"	"12288"	"procedurekode"
"KUJD05"	"11848"	"procedurekode"
"NAAD"	"11414"	"procedurekode"
"KTQX00"	"11071"	"procedurekode"
"KJFA15"	"8915"	"procedurekode"
"KGAA10"	"8704"	"procedurekode"
"KUDH02A"	"8607"	"procedurekode"
"KQDB99"	"8064"	"procedurekode"
"KQDB10"	"7652"	"procedurekode"
"P"	"659309"	"proceduretype"
"+"	"368304"	"proceduretype"
"proceduretype"	"1"	"proceduretype"
""	"391364"	"procedurekode_parent"
""	"267945"	"procedurekode_parent"
"KCKD05B"	"61745"	"procedurekode_parent"
"KUDB02"	"21607"	"procedurekode_parent"
"KUJF32"	"20463"	"procedurekode_parent"
"KTNE20A"	"18372"	"procedurekode_parent"
"KCJE20"	"16842"	"procedurekode_parent"
"KUDB22"	"12985"	"procedurekode_parent"
"KTNE25A"	"12633"	"procedurekode_parent"
"KJFA15"	"10059"	"procedurekode_parent"
"KGAA10"	"8317"	"procedurekode_parent"
"KTAB00"	"5906"	"procedurekode_parent"
"KUJF35"	"4613"	"procedurekode_parent"
"KTGD00"	"4522"	"procedurekode_parent"
"KWAA01"	"4383"	"procedurekode_parent"
"KPJD41"	"3791"	"procedurekode_parent"
"KQDB99"	"3281"	"procedurekode_parent"
"KTHA10C"	"2765"	"procedurekode_parent"
"KQDB10"	"2696"	"procedurekode_parent"
"KQAE10"	"2333"	"procedurekode_parent"
"KCJB10"	"2332"	"procedurekode_parent"
"KKBV05"	"1917"	"procedurekode_parent"
"KUDQ12"	"1890"	"procedurekode_parent"
"KUKC02"	"1886"	"procedurekode_parent"
"KUDH02A"	"1808"	"procedurekode_parent"
""	"391364"	"proceduretype_parent"
"P"	"368304"	"proceduretype_parent"
""	"267945"	"proceduretype_parent"
"proceduretype_parent"	"1"	"proceduretype_parent"
"318621000016004"	"26991"	"sorenhed_pro"
"682041000016008"	"22656"	"sorenhed_pro"
"926891000016001"	"21244"	"sorenhed_pro"
"587451000016005"	"19234"	"sorenhed_pro"
"678401000016005"	"18463"	"sorenhed_pro"
"368301000016004"	"17983"	"sorenhed_pro"
"367331000016009"	"17899"	"sorenhed_pro"
"254161000016005"	"17883"	"sorenhed_pro"
"241201000016003"	"16241"	"sorenhed_pro"
"239141000016006"	"15273"	"sorenhed_pro"
"248781000016008"	"12858"	"sorenhed_pro"
"683971000016007"	"12232"	"sorenhed_pro"
"587751000016001"	"11960"	"sorenhed_pro"
"275501000016003"	"11834"	"sorenhed_pro"
"226051000016002"	"11006"	"sorenhed_pro"
"682241000016001"	"10228"	"sorenhed_pro"
"224861000016003"	"10160"	"sorenhed_pro"
"914691000016002"	"9495"	"sorenhed_pro"
"581411000016003"	"8528"	"sorenhed_pro"
"466631000016005"	"7815"	"sorenhed_pro"
"283121000016009"	"7293"	"sorenhed_pro"
"695481000016002"	"7273"	"sorenhed_pro"
"221831000016008"	"6708"	"sorenhed_pro"
"287481000016008"	"6577"	"sorenhed_pro"
"218621000016007"	"6348"	"sorenhed_pro"
"2021-11-23 00:00:00"	"1140"	"dato_start"
"2019-11-25 00:00:00"	"1138"	"dato_start"
"2020-02-06 00:00:00"	"1127"	"dato_start"
"2021-05-26 00:00:00"	"1122"	"dato_start"
"2020-10-26 00:00:00"	"1109"	"dato_start"
"2019-06-13 00:00:00"	"1095"	"dato_start"
"2019-06-24 00:00:00"	"1092"	"dato_start"
"2020-05-28 00:00:00"	"1082"	"dato_start"
"2021-05-10 00:00:00"	"1075"	"dato_start"
"2021-06-10 00:00:00"	"1071"	"dato_start"
"2021-06-08 00:00:00"	"1070"	"dato_start"
"2020-10-22 00:00:00"	"1066"	"dato_start"
"2019-11-18 00:00:00"	"1058"	"dato_start"
"2019-10-29 00:00:00"	"1042"	"dato_start"
"2021-11-08 00:00:00"	"1040"	"dato_start"
"2020-02-25 00:00:00"	"1040"	"dato_start"
"2019-11-13 00:00:00"	"1039"	"dato_start"
"2020-06-04 00:00:00"	"1039"	"dato_start"
"2020-05-18 00:00:00"	"1037"	"dato_start"
"2020-01-14 00:00:00"	"1036"	"dato_start"
"2019-09-19 00:00:00"	"1036"	"dato_start"
"2019-11-04 00:00:00"	"1030"	"dato_start"
"2020-09-07 00:00:00"	"1029"	"dato_start"
"2020-01-22 00:00:00"	"1027"	"dato_start"
"2020-12-03 00:00:00"	"1025"	"dato_start"
"10:00:00"	"13354"	"tidspunkt_start"
"10:30:00"	"13098"	"tidspunkt_start"
"09:00:00"	"12676"	"tidspunkt_start"
"11:00:00"	"11338"	"tidspunkt_start"
"12:30:00"	"11293"	"tidspunkt_start"
"13:00:00"	"10927"	"tidspunkt_start"
"08:00:00"	"10832"	"tidspunkt_start"
"09:30:00"	"10761"	"tidspunkt_start"
"08:30:00"	"9091"	"tidspunkt_start"
"13:30:00"	"8373"	"tidspunkt_start"
"14:00:00"	"7422"	"tidspunkt_start"
"11:30:00"	"7130"	"tidspunkt_start"
"11:15:00"	"6588"	"tidspunkt_start"
"12:00:00"	"6474"	"tidspunkt_start"
"09:45:00"	"6361"	"tidspunkt_start"
"08:45:00"	"6349"	"tidspunkt_start"
"10:45:00"	"6262"	"tidspunkt_start"
"09:15:00"	"6001"	"tidspunkt_start"
"11:10:00"	"5895"	"tidspunkt_start"
"10:15:00"	"5681"	"tidspunkt_start"
"13:15:00"	"5203"	"tidspunkt_start"
"11:45:00"	"4841"	"tidspunkt_start"
"11:50:00"	"4809"	"tidspunkt_start"
"09:10:00"	"4726"	"tidspunkt_start"
"12:45:00"	"4492"	"tidspunkt_start"
""	"979337"	"dato_slut"
"2019-06-18 00:00:00"	"217"	"dato_slut"
"2019-05-29 00:00:00"	"181"	"dato_slut"
"2019-09-10 00:00:00"	"178"	"dato_slut"
"2019-06-19 00:00:00"	"173"	"dato_slut"
"2019-09-04 00:00:00"	"166"	"dato_slut"
"2019-07-11 00:00:00"	"166"	"dato_slut"
"2019-06-12 00:00:00"	"163"	"dato_slut"
"2019-06-24 00:00:00"	"162"	"dato_slut"
"2019-10-07 00:00:00"	"157"	"dato_slut"
"2019-08-20 00:00:00"	"156"	"dato_slut"
"2019-08-21 00:00:00"	"156"	"dato_slut"
"2019-05-28 00:00:00"	"152"	"dato_slut"
"2019-09-19 00:00:00"	"152"	"dato_slut"
"2019-06-27 00:00:00"	"150"	"dato_slut"
"2019-04-29 00:00:00"	"150"	"dato_slut"
"2019-06-04 00:00:00"	"147"	"dato_slut"
"2019-08-05 00:00:00"	"147"	"dato_slut"
"2019-10-24 00:00:00"	"145"	"dato_slut"
"2019-08-13 00:00:00"	"144"	"dato_slut"
"2019-09-17 00:00:00"	"143"	"dato_slut"
"2019-11-25 00:00:00"	"143"	"dato_slut"
"2019-05-22 00:00:00"	"142"	"dato_slut"
"2019-03-04 00:00:00"	"142"	"dato_slut"
"2019-03-28 00:00:00"	"142"	"dato_slut"
""	"979337"	"tidspunkt_slut"
"12:00:00"	"1161"	"tidspunkt_slut"
"08:01:00"	"1073"	"tidspunkt_slut"
"11:00:00"	"1000"	"tidspunkt_slut"
"08:30:00"	"976"	"tidspunkt_slut"
"14:00:00"	"968"	"tidspunkt_slut"
"10:30:00"	"950"	"tidspunkt_slut"
"15:00:00"	"912"	"tidspunkt_slut"
"10:00:00"	"875"	"tidspunkt_slut"
"11:30:00"	"821"	"tidspunkt_slut"
"13:30:00"	"817"	"tidspunkt_slut"
"13:00:00"	"753"	"tidspunkt_slut"
"14:30:00"	"715"	"tidspunkt_slut"
"12:30:00"	"694"	"tidspunkt_slut"
"09:30:00"	"648"	"tidspunkt_slut"
"09:00:00"	"625"	"tidspunkt_slut"
"13:45:00"	"561"	"tidspunkt_slut"
"10:15:00"	"509"	"tidspunkt_slut"
"13:15:00"	"504"	"tidspunkt_slut"
"10:45:00"	"493"	"tidspunkt_slut"
"11:15:00"	"451"	"tidspunkt_slut"
"11:45:00"	"443"	"tidspunkt_slut"
"14:15:00"	"411"	"tidspunkt_slut"
"12:15:00"	"356"	"tidspunkt_slut"
"09:45:00"	"349"	"tidspunkt_slut"
"2020-12-03 00:00:00"	"25616"	"dato_indberetning"
"2020-12-04 00:00:00"	"10162"	"dato_indberetning"
"2022-10-11 00:00:00"	"6758"	"dato_indberetning"
"2022-10-10 00:00:00"	"6634"	"dato_indberetning"
"2022-08-18 00:00:00"	"6589"	"dato_indberetning"
"2020-12-02 00:00:00"	"3918"	"dato_indberetning"
"2019-09-21 00:00:00"	"3794"	"dato_indberetning"
"2021-05-04 00:00:00"	"3082"	"dato_indberetning"
"2019-11-22 00:00:00"	"3078"	"dato_indberetning"
"2022-11-01 00:00:00"	"3061"	"dato_indberetning"
"2022-08-16 00:00:00"	"2910"	"dato_indberetning"
"2019-09-26 00:00:00"	"2829"	"dato_indberetning"
"2019-09-20 00:00:00"	"2703"	"dato_indberetning"
"2022-08-03 00:00:00"	"2654"	"dato_indberetning"
"2023-12-13 00:00:00"	"2635"	"dato_indberetning"
"2021-05-20 00:00:00"	"2628"	"dato_indberetning"
"2022-08-23 00:00:00"	"2605"	"dato_indberetning"
"2021-02-03 00:00:00"	"2330"	"dato_indberetning"
"2022-08-04 00:00:00"	"2327"	"dato_indberetning"
"2022-08-22 00:00:00"	"2308"	"dato_indberetning"
"2022-10-15 00:00:00"	"2273"	"dato_indberetning"
"2022-07-07 00:00:00"	"2260"	"dato_indberetning"
"2022-08-10 00:00:00"	"2207"	"dato_indberetning"
"2022-08-11 00:00:00"	"2118"	"dato_indberetning"
"2022-08-09 00:00:00"	"2116"	"dato_indberetning"
"21:22:57"	"149"	"tidspunkt_indberetning"
"20:39:16"	"133"	"tidspunkt_indberetning"
"21:22:57.789"	"132"	"tidspunkt_indberetning"
"20:42:40"	"128"	"tidspunkt_indberetning"
"20:40:47"	"127"	"tidspunkt_indberetning"
"20:22:54"	"127"	"tidspunkt_indberetning"
"21:18:06"	"124"	"tidspunkt_indberetning"
"20:39:16.587"	"120"	"tidspunkt_indberetning"
"20:42:40.427"	"112"	"tidspunkt_indberetning"
"22:09:40"	"111"	"tidspunkt_indberetning"
"20:22:54.604"	"106"	"tidspunkt_indberetning"
"20:40:47.987"	"103"	"tidspunkt_indberetning"
"21:18:06.672"	"103"	"tidspunkt_indberetning"
"21:41:47"	"102"	"tidspunkt_indberetning"
"21:29:33"	"102"	"tidspunkt_indberetning"
"21:38:45"	"100"	"tidspunkt_indberetning"
"00:27:10"	"100"	"tidspunkt_indberetning"
"22:15:17"	"100"	"tidspunkt_indberetning"
"22:10:57"	"98"	"tidspunkt_indberetning"
"21:27:21"	"97"	"tidspunkt_indberetning"
"00:27:10.465"	"96"	"tidspunkt_indberetning"
"20:16:08"	"95"	"tidspunkt_indberetning"
"22:06:01"	"94"	"tidspunkt_indberetning"
"21:36:49"	"94"	"tidspunkt_indberetning"
"21:23:18"	"93"	"tidspunkt_indberetning"
"LPR3"	"1027613"	"lprindberetningssystem"
"lprindberetningssystem"	"1"	"lprindberetningssystem"
"2024-11-16"	"607669"	"date_received"
"2023-05-04"	"419346"	"date_received"
"2023-05-17"	"599"	"date_received"
"2024-12-18 16:16:59.944926"	"607669"	"datetime_created"
"2024-04-17 11:31:18.367189"	"419346"	"datetime_created"
"2024-12-19 13:34:18.417476"	"598"	"datetime_created"
"2024-10-25 14:03:42.203821"	"1"	"datetime_created"
