"value"	"n"	"column"
"4202220"	"446590"	"k_inst"
"1301481"	"300441"	"k_inst"
"8001240"	"263228"	"k_inst"
"6620212"	"250077"	"k_inst"
"1516120"	"215172"	"k_inst"
"3800C80"	"151370"	"k_inst"
"6008130"	"92375"	"k_inst"
"7003210"	"75810"	"k_inst"
"7004100"	"61075"	"k_inst"
"7005131"	"59254"	"k_inst"
"3800Q80"	"51469"	"k_inst"
"1330140"	"46626"	"k_inst"
"5501074"	"40621"	"k_inst"
"6630721"	"27309"	"k_inst"
"2000832"	"24280"	"k_inst"
"1309190"	"21043"	"k_inst"
"2501140"	"19601"	"k_inst"
"8003140"	"19130"	"k_inst"
"1501160"	"18668"	"k_inst"
"3800T80"	"15590"	"k_inst"
"6501110"	"15335"	"k_inst"
"5001120"	"14221"	"k_inst"
"5000830"	"13223"	"k_inst"
"7601120"	"12719"	"k_inst"
"6650641"	"11702"	"k_inst"
"0804004330"	"136"	"k_rekvnr"
"23auh214115"	"100"	"k_rekvnr"
"21306298"	"76"	"k_rekvnr"
"20Rig033157"	"74"	"k_rekvnr"
"14200011"	"74"	"k_rekvnr"
"22slb018880"	"71"	"k_rekvnr"
"0206000097"	"69"	"k_rekvnr"
"0506000165"	"69"	"k_rekvnr"
"08200044"	"65"	"k_rekvnr"
"02003281"	"64"	"k_rekvnr"
"11100597"	"62"	"k_rekvnr"
"0206000167"	"62"	"k_rekvnr"
"13450080"	"60"	"k_rekvnr"
"08305961"	"60"	"k_rekvnr"
"24auh351813"	"59"	"k_rekvnr"
"08200010"	"59"	"k_rekvnr"
"19703642"	"59"	"k_rekvnr"
"21200009"	"59"	"k_rekvnr"
"20009487"	"58"	"k_rekvnr"
"14200014"	"58"	"k_rekvnr"
"0506000131"	"58"	"k_rekvnr"
"20306340"	"58"	"k_rekvnr"
"21303328"	"57"	"k_rekvnr"
"14200025"	"57"	"k_rekvnr"
"0504006261"	"56"	"k_rekvnr"
"[free-text: 2339648 non-null, avg ~45 chars, max 3,055]"	"2339648"	"v_fritekst"
"2023-05-04"	"2068309"	"date_received"
"2024-11-16"	"257201"	"date_received"
"2023-05-17"	"15853"	"date_received"
"2024-04-24 09:54:01.435926"	"2068309"	"datetime_created"
"2024-12-18 16:30:53.381354"	"257201"	"datetime_created"
"2024-05-01 11:12:25.083055"	"15853"	"datetime_created"
"1"	"1655868"	"k_matnr"
"2"	"241718"	"k_matnr"
"3"	"163565"	"k_matnr"
"4"	"115128"	"k_matnr"
"5"	"97518"	"k_matnr"
"6"	"35967"	"k_matnr"
"7"	"11536"	"k_matnr"
"8"	"7528"	"k_matnr"
"9"	"4526"	"k_matnr"
"10"	"3557"	"k_matnr"
"11"	"1853"	"k_matnr"
"12"	"1588"	"k_matnr"
"13"	"327"	"k_matnr"
"14"	"209"	"k_matnr"
"15"	"136"	"k_matnr"
"16"	"87"	"k_matnr"
"17"	"59"	"k_matnr"
"18"	"42"	"k_matnr"
"19"	"26"	"k_matnr"
"20"	"13"	"k_matnr"
"21"	"10"	"k_matnr"
"22"	"9"	"k_matnr"
"23"	"7"	"k_matnr"
"24"	"6"	"k_matnr"
"25"	"5"	"k_matnr"
"1"	"1460434"	"k_sekvensnr"
"2"	"294010"	"k_sekvensnr"
"3"	"190043"	"k_sekvensnr"
"4"	"117267"	"k_sekvensnr"
"5"	"75952"	"k_sekvensnr"
"6"	"51077"	"k_sekvensnr"
"7"	"36785"	"k_sekvensnr"
"8"	"26133"	"k_sekvensnr"
"9"	"19280"	"k_sekvensnr"
"10"	"14777"	"k_sekvensnr"
"11"	"11144"	"k_sekvensnr"
"12"	"8459"	"k_sekvensnr"
"13"	"6634"	"k_sekvensnr"
"14"	"5217"	"k_sekvensnr"
"15"	"4139"	"k_sekvensnr"
"16"	"3324"	"k_sekvensnr"
"17"	"2683"	"k_sekvensnr"
"18"	"2226"	"k_sekvensnr"
"19"	"1777"	"k_sekvensnr"
"20"	"1474"	"k_sekvensnr"
"21"	"1226"	"k_sekvensnr"
"22"	"1011"	"k_sekvensnr"
"23"	"860"	"k_sekvensnr"
"24"	"741"	"k_sekvensnr"
"25"	"634"	"k_sekvensnr"
