"value"	"n"	"column"
"4202220"	"1961044"	"k_inst"
"1301481"	"1567433"	"k_inst"
"6620212"	"1022598"	"k_inst"
"8001240"	"941514"	"k_inst"
"3800C80"	"914513"	"k_inst"
"1516120"	"912419"	"k_inst"
"6008130"	"356423"	"k_inst"
"3800Q80"	"206239"	"k_inst"
"1330140"	"176098"	"k_inst"
"7003210"	"175967"	"k_inst"
"5501074"	"153080"	"k_inst"
"7005131"	"142656"	"k_inst"
"7004100"	"140537"	"k_inst"
"6630721"	"122160"	"k_inst"
"2501140"	"88061"	"k_inst"
"8003140"	"82214"	"k_inst"
"1309190"	"78823"	"k_inst"
"2000832"	"77845"	"k_inst"
"5001120"	"73946"	"k_inst"
"6501110"	"67924"	"k_inst"
"3800T80"	"59935"	"k_inst"
"5000830"	"54952"	"k_inst"
"3000951"	"48944"	"k_inst"
"6650641"	"39226"	"k_inst"
"3500900"	"36619"	"k_inst"
"23auh214115"	"285"	"k_rekvnr"
"22auh252961"	"264"	"k_rekvnr"
"22auh213112"	"236"	"k_rekvnr"
"23auh208007"	"224"	"k_rekvnr"
"22auh208360"	"220"	"k_rekvnr"
"23auh208295"	"216"	"k_rekvnr"
"0604000244"	"211"	"k_rekvnr"
"21auh242836"	"202"	"k_rekvnr"
"23auh351648"	"188"	"k_rekvnr"
"22auh205335"	"188"	"k_rekvnr"
"22auh215814"	"182"	"k_rekvnr"
"21auh206430"	"182"	"k_rekvnr"
"11450045"	"182"	"k_rekvnr"
"21auh211853"	"180"	"k_rekvnr"
"23auh207103"	"176"	"k_rekvnr"
"21auh211476"	"175"	"k_rekvnr"
"23auh206347"	"175"	"k_rekvnr"
"22auh351516"	"172"	"k_rekvnr"
"20auh238145"	"172"	"k_rekvnr"
"21auh248789"	"171"	"k_rekvnr"
"22auh244101"	"171"	"k_rekvnr"
"21auh200421"	"169"	"k_rekvnr"
"21auh220232"	"168"	"k_rekvnr"
"22auh227364"	"168"	"k_rekvnr"
"20auh238660"	"167"	"k_rekvnr"
"[free-text: 9620334 non-null, avg ~76 chars, max 98,883,375]"	"9620334"	"v_fritekst"
"2023-05-04"	"7772578"	"date_received"
"2024-11-16"	"1613661"	"date_received"
"2023-05-17"	"421443"	"date_received"
"2024-04-24 09:58:11.438644"	"7772578"	"datetime_created"
"2024-12-18 16:30:53.381354"	"1613661"	"datetime_created"
"2024-05-01 12:43:44.372529"	"421443"	"datetime_created"
"1"	"7527760"	"k_matnr"
"3"	"749006"	"k_matnr"
"2"	"746468"	"k_matnr"
"4"	"436610"	"k_matnr"
"5"	"181240"	"k_matnr"
"6"	"116122"	"k_matnr"
"7"	"20420"	"k_matnr"
"8"	"12243"	"k_matnr"
"9"	"6823"	"k_matnr"
"10"	"4699"	"k_matnr"
"11"	"2417"	"k_matnr"
"12"	"1969"	"k_matnr"
"13"	"532"	"k_matnr"
"14"	"445"	"k_matnr"
"15"	"294"	"k_matnr"
"16"	"158"	"k_matnr"
"17"	"135"	"k_matnr"
"19"	"95"	"k_matnr"
"18"	"84"	"k_matnr"
"21"	"35"	"k_matnr"
"20"	"26"	"k_matnr"
"23"	"18"	"k_matnr"
"22"	"14"	"k_matnr"
"25"	"8"	"k_matnr"
"29"	"6"	"k_matnr"
"1"	"1563174"	"k_sekvensnr"
"2"	"968381"	"k_sekvensnr"
"3"	"790088"	"k_sekvensnr"
"4"	"699603"	"k_sekvensnr"
"5"	"580312"	"k_sekvensnr"
"6"	"520314"	"k_sekvensnr"
"7"	"454690"	"k_sekvensnr"
"8"	"423263"	"k_sekvensnr"
"9"	"350977"	"k_sekvensnr"
"10"	"343744"	"k_sekvensnr"
"11"	"293350"	"k_sekvensnr"
"12"	"280383"	"k_sekvensnr"
"13"	"216066"	"k_sekvensnr"
"14"	"207868"	"k_sekvensnr"
"15"	"186299"	"k_sekvensnr"
"16"	"165751"	"k_sekvensnr"
"17"	"155970"	"k_sekvensnr"
"18"	"147025"	"k_sekvensnr"
"19"	"138243"	"k_sekvensnr"
"20"	"128530"	"k_sekvensnr"
"21"	"119630"	"k_sekvensnr"
"22"	"110688"	"k_sekvensnr"
"23"	"101795"	"k_sekvensnr"
"24"	"92531"	"k_sekvensnr"
"25"	"87753"	"k_sekvensnr"
