"value"	"n"	"column"
"2020-10-29 00:00:00"	"3315"	"taken_time"
"2020-10-28 00:00:00"	"3214"	"taken_time"
"2020-10-27 00:00:00"	"3196"	"taken_time"
"2020-11-02 00:00:00"	"3189"	"taken_time"
"2023-01-05 00:00:00"	"3187"	"taken_time"
"2020-01-20 00:00:00"	"3143"	"taken_time"
"2020-11-23 00:00:00"	"3129"	"taken_time"
"2020-11-25 00:00:00"	"3119"	"taken_time"
"2019-12-02 00:00:00"	"3082"	"taken_time"
"2019-04-09 00:00:00"	"3073"	"taken_time"
"2021-11-08 00:00:00"	"3058"	"taken_time"
"2020-11-24 00:00:00"	"3056"	"taken_time"
"2020-12-07 00:00:00"	"3056"	"taken_time"
"2019-12-12 00:00:00"	"3054"	"taken_time"
"2020-10-26 00:00:00"	"3040"	"taken_time"
"2022-03-23 00:00:00"	"3032"	"taken_time"
"2019-12-03 00:00:00"	"3020"	"taken_time"
"2019-01-10 00:00:00"	"3019"	"taken_time"
"2022-03-28 00:00:00"	"3009"	"taken_time"
"2022-03-24 00:00:00"	"3004"	"taken_time"
"2020-01-13 00:00:00"	"3001"	"taken_time"
"2019-12-16 00:00:00"	"2995"	"taken_time"
"2019-01-14 00:00:00"	"2993"	"taken_time"
"2019-01-23 00:00:00"	"2991"	"taken_time"
"2020-11-03 00:00:00"	"2991"	"taken_time"
"N02BE01"	"1995940"	"atc"
"A02BC02"	"830499"	"atc"
"J01CR05"	"729530"	"atc"
"A12BA01"	"699671"	"atc"
"C03CA01"	"697140"	"atc"
"A12AX"	"683879"	"atc"
"N02AA01"	"597729"	"atc"
"N02AA05"	"514110"	"atc"
"C07AB02"	"398728"	"atc"
"B05BB01"	"394694"	"atc"
"A10AB05"	"376754"	"atc"
"J05AB01"	"364878"	"atc"
"H02AB06"	"355618"	"atc"
"A04AA01"	"336738"	"atc"
"B01AB10"	"300419"	"atc"
"J01DH02"	"286702"	"atc"
"H02AB02"	"260330"	"atc"
"A06AD65"	"253268"	"atc"
"M04AA01"	"243598"	"atc"
"N05CF01"	"235891"	"atc"
"R06AE07"	"230505"	"atc"
"C10AA05"	"229073"	"atc"
"V07AB"	"225387"	"atc"
"C08CA01"	"223382"	"atc"
"B01AC06"	"202591"	"atc"
""	"4819046"	"medication_id"
"102"	"840578"	"medication_id"
"207365"	"324643"	"medication_id"
"184708"	"289559"	"medication_id"
"500303"	"274621"	"medication_id"
"26225"	"261866"	"medication_id"
"408902"	"225796"	"medication_id"
"163547"	"211694"	"medication_id"
"9506"	"173027"	"medication_id"
"3295"	"168336"	"medication_id"
"175941"	"160414"	"medication_id"
"163425"	"159394"	"medication_id"
"8971"	"145312"	"medication_id"
"208272"	"141032"	"medication_id"
"226713"	"123982"	"medication_id"
"204851"	"117096"	"medication_id"
"219209"	"116521"	"medication_id"
"163890"	"113554"	"medication_id"
"164538"	"109067"	"medication_id"
"206133"	"106666"	"medication_id"
"36141"	"105499"	"medication_id"
"169060"	"104483"	"medication_id"
"409604"	"101550"	"medication_id"
"204909"	"100939"	"medication_id"
"166353"	"100901"	"medication_id"
"1"	"2902621"	"sig"
"1000"	"2774210"	"sig"
"10"	"1654067"	"sig"
"40"	"1444620"	"sig"
"5"	"1119584"	"sig"
""	"1090142"	"sig"
"4"	"1052179"	"sig"
"20"	"895210"	"sig"
"500"	"799085"	"sig"
"100"	"718541"	"sig"
"50"	"688149"	"sig"
"400"	"646930"	"sig"
"2"	"510773"	"sig"
"300"	"495937"	"sig"
"25"	"488239"	"sig"
"1500"	"429556"	"sig"
"75"	"421473"	"sig"
"750"	"381169"	"sig"
"2.5"	"368579"	"sig"
"15"	"328077"	"sig"
"30"	"327676"	"sig"
"200"	"323491"	"sig"
"8"	"299227"	"sig"
"80"	"242717"	"sig"
"7.5"	"218175"	"sig"
"mg"	"16561126"	"zc_med_unit_name"
"ml"	"1383847"	"zc_med_unit_name"
"stk"	"1365562"	"zc_med_unit_name"
""	"1090745"	"zc_med_unit_name"
"g piperacillin"	"695115"	"zc_med_unit_name"
"mikrogram"	"564568"	"zc_med_unit_name"
"IE"	"410089"	"zc_med_unit_name"
"anti-Xa IE"	"401950"	"zc_med_unit_name"
"gram"	"398111"	"zc_med_unit_name"
"dråbe"	"291193"	"zc_med_unit_name"
"dosis"	"265111"	"zc_med_unit_name"
"Dosis"	"247711"	"zc_med_unit_name"
"mmol"	"178198"	"zc_med_unit_name"
"tablet"	"143619"	"zc_med_unit_name"
"enhed"	"125546"	"zc_med_unit_name"
"brev"	"122002"	"zc_med_unit_name"
"ml/time"	"116785"	"zc_med_unit_name"
"pust"	"69970"	"zc_med_unit_name"
"sug"	"51912"	"zc_med_unit_name"
