"value"	"n"	"column"
""	"6056329"	"death_date"
"2019-01-06 13:06:00"	"16400"	"death_date"
"2021-01-22 07:53:00"	"14100"	"death_date"
"2021-10-13 23:59:00"	"8498"	"death_date"
"2018-08-10 10:45:00"	"6591"	"death_date"
"2017-07-30 07:16:00"	"5888"	"death_date"
"2020-09-21 00:00:00"	"5495"	"death_date"
"2023-11-01 23:59:00"	"5314"	"death_date"
"2020-07-19 20:20:00"	"5248"	"death_date"
"2020-02-09 01:49:00"	"5212"	"death_date"
"2021-07-20 23:59:00"	"5075"	"death_date"
"2022-03-13 23:32:00"	"4967"	"death_date"
"2021-09-09 19:30:00"	"4770"	"death_date"
"2021-11-26 23:59:00"	"4645"	"death_date"
"2022-04-21 22:38:00"	"4644"	"death_date"
"2021-12-27 23:59:00"	"4584"	"death_date"
"2021-11-26 12:42:00"	"4530"	"death_date"
"2022-07-25 23:59:00"	"4486"	"death_date"
"2023-09-17 23:59:00"	"4317"	"death_date"
"2022-11-14 23:59:00"	"4177"	"death_date"
"2023-10-08 23:59:00"	"4072"	"death_date"
"2023-08-02 12:40:00"	"4018"	"death_date"
"2022-02-03 17:30:00"	"3999"	"death_date"
"2022-05-27 23:59:00"	"3973"	"death_date"
"2018-12-29 13:00:00"	"3926"	"death_date"
"UDSKRIVNING"	"2623546"	"event_type_name"
"FLYT UD"	"2089459"	"event_type_name"
"AMBULANT HOSPITALSPATIENT"	"2080026"	"event_type_name"
"FLYT IND"	"2039678"	"event_type_name"
"INDLÆGGELSE"	"612178"	"event_type_name"
"PATIENTOPDATERING"	"203057"	"event_type_name"
"START PÅ ORLOV"	"47081"	"event_type_name"
"TILBAGE FRA ORLOV"	"47015"	"event_type_name"
"ORLOV UD"	"38628"	"event_type_name"
"ORLOV TILBAGE"	"38593"	"event_type_name"
"2019-06-11 23:59:00"	"1224"	"effective_time"
"2019-06-20 23:59:00"	"1166"	"effective_time"
"2019-06-06 23:59:00"	"1125"	"effective_time"
"2019-06-18 23:59:00"	"1111"	"effective_time"
"2019-06-13 23:59:00"	"1110"	"effective_time"
"2019-06-27 23:59:00"	"1101"	"effective_time"
"2019-06-25 23:59:00"	"1094"	"effective_time"
"2019-06-12 23:59:00"	"1062"	"effective_time"
"2019-04-30 23:59:00"	"1043"	"effective_time"
"2019-02-07 23:59:00"	"1035"	"effective_time"
"2019-03-19 23:59:00"	"1025"	"effective_time"
"2019-05-02 23:59:00"	"1025"	"effective_time"
"2019-02-19 23:59:00"	"1019"	"effective_time"
"2019-04-25 23:59:00"	"1018"	"effective_time"
"2019-03-14 23:59:00"	"1015"	"effective_time"
"2019-05-16 23:59:00"	"1008"	"effective_time"
"2019-05-28 23:59:00"	"1007"	"effective_time"
"2019-05-27 23:59:00"	"1004"	"effective_time"
"2019-06-17 23:59:00"	"998"	"effective_time"
"2019-06-28 23:59:00"	"987"	"effective_time"
"2019-04-09 23:59:00"	"984"	"effective_time"
"2019-06-24 23:59:00"	"977"	"effective_time"
"2019-07-02 23:59:00"	"975"	"effective_time"
"2019-04-23 23:59:00"	"968"	"effective_time"
"2019-06-21 23:59:00"	"962"	"effective_time"
""	"2478764"	"hospital_area_name"
"RH, RIGSHOSPITALET"	"2088180"	"hospital_area_name"
"HGH, HERLEV OG GENTOFTE HOSPITAL"	"1616515"	"hospital_area_name"
"SJÆLLANDS UNIVERSITETSHOSPITAL"	"1353169"	"hospital_area_name"
"NOH, HOSPITALERNE I NORDSJÆLLAND"	"580636"	"hospital_area_name"
"BFH, BISPEBJERG OG FREDERIKSBERG HOSPITALER"	"393509"	"hospital_area_name"
"AHH, AMAGER OG HVIDOVRE HOSPITAL"	"392688"	"hospital_area_name"
"NÆSTVED, SLAGELSE OG RINGSTED SYGEHUSE"	"227270"	"hospital_area_name"
"HOLBÆK SYGEHUS"	"212940"	"hospital_area_name"
"NYKØBING F SYGEHUS"	"159764"	"hospital_area_name"
"NULL"	"144742"	"hospital_area_name"
"BOH, BORNHOLMS HOSPITAL"	"109008"	"hospital_area_name"
"RHP, REGION HOVEDSTADENS PSYKIATRI"	"43506"	"hospital_area_name"
"PSYKIATRIEN REGION SJÆLLAND"	"13639"	"hospital_area_name"
"FIL, EPILEPSIHOSPITALET FILADELFIA"	"1742"	"hospital_area_name"
"HSJ, HOSPICE SJÆLLAND"	"1620"	"hospital_area_name"
"HOG, HOSPICEGÅRDEN FILADELFIA"	"694"	"hospital_area_name"
"SVA, SVANEVIG HOSPICE"	"655"	"hospital_area_name"
"GARANTIKLINIKKEN"	"212"	"hospital_area_name"
"EHOSPITALET"	"8"	"hospital_area_name"
""	"1750041"	"afdeling_name"
"RH L9, BLODSYGDOMME L, KLINIK"	"1281755"	"afdeling_name"
"ROS A2D, ROS HÆMATOLOGISK AMB."	"771694"	"afdeling_name"
"NULL"	"693477"	"afdeling_name"
"HGH 239, MEDICINSK HÆMATOL. AMB. L/A"	"456619"	"afdeling_name"
"DK Transit,"	"255022"	"afdeling_name"
"RH L1, BLODSYGDOMME L, SENGE"	"171456"	"afdeling_name"
"ROS A20, ROS HÆMATOLOGISK AFD."	"158638"	"afdeling_name"
"HGH 139, ONKOLOGISK AMBULATORIUM R/A"	"120891"	"afdeling_name"
"RH ONK7, ONKOLOGISK KLINIK ONK, RADIOTERAPI"	"109540"	"afdeling_name"
"HGH 099, NEFROLOGISK AMBULATORIUM B/A"	"106709"	"afdeling_name"
"HGH 230, MEDICINSK HÆMATOLOGISK AFD. L"	"106330"	"afdeling_name"
"RH KF1, KLIN. FYS/NUKLEARMED. KLINIK KF"	"105624"	"afdeling_name"
"DK Transit, SJ"	"96706"	"afdeling_name"
"RH ONK7, STRÅLEBEHANDLING, KLINIK"	"91748"	"afdeling_name"
"RH X1, RADIOLOGISK AFDELING X"	"68891"	"afdeling_name"
"RH RT1, THORAXKIRURGISK KLINIK RT, HELDØGN"	"66372"	"afdeling_name"
"RH P9, NEFROLOGISK KLINIK P, AMBULATORIUM"	"62308"	"afdeling_name"
"NFS V00, NFS MEDICINSK AFD."	"61320"	"afdeling_name"
"RH P9, NYRE- OG HORMONSYGDOMME, KLINIK P9"	"60497"	"afdeling_name"
"HGH 011, ANÆSTESIOLOGISK AFDELING I"	"60254"	"afdeling_name"
"HGH 079, KLIN.FYS.OG NUKLEARMED.AMB.Z/A"	"57037"	"afdeling_name"
