"value"	"n"	"column"
"21194"	"128"	"plan_id"
"9112"	"114"	"plan_id"
"57667"	"113"	"plan_id"
"64113"	"112"	"plan_id"
"52389"	"112"	"plan_id"
"51118"	"102"	"plan_id"
"62644"	"101"	"plan_id"
"200810"	"98"	"plan_id"
"90089"	"97"	"plan_id"
"69223"	"97"	"plan_id"
"23372"	"95"	"plan_id"
"188598"	"94"	"plan_id"
"92078"	"94"	"plan_id"
"63671"	"93"	"plan_id"
"106869"	"93"	"plan_id"
"113503"	"93"	"plan_id"
"69900"	"92"	"plan_id"
"97323"	"91"	"plan_id"
"188571"	"91"	"plan_id"
"121446"	"90"	"plan_id"
"79994"	"90"	"plan_id"
"72903"	"90"	"plan_id"
"8352"	"89"	"plan_id"
"41233"	"88"	"plan_id"
"152525"	"88"	"plan_id"
"Cycle 1"	"33197"	"serie_navn"
"Cycle 2"	"21017"	"serie_navn"
"Cycle 3"	"20609"	"serie_navn"
"Cycle 4"	"20413"	"serie_navn"
"Cycle 5"	"18958"	"serie_navn"
"Cycle 6"	"18263"	"serie_navn"
"Cycle 7"	"10507"	"serie_navn"
"Cycle 8"	"9569"	"serie_navn"
"Cycle 9"	"8118"	"serie_navn"
"Cycle 10"	"7121"	"serie_navn"
"Cycle 11"	"6631"	"serie_navn"
"Cycle 12"	"6126"	"serie_navn"
"Cycle 13"	"4466"	"serie_navn"
"Cycle 14"	"4144"	"serie_navn"
"Cycle 15"	"3962"	"serie_navn"
"Cycle 16"	"3252"	"serie_navn"
"Cycle 17"	"3052"	"serie_navn"
"Cycle 18"	"2894"	"serie_navn"
"Cycle 19"	"2583"	"serie_navn"
"Cycle 20"	"2347"	"serie_navn"
"Cycle 21"	"1732"	"serie_navn"
"Cycle 22"	"1654"	"serie_navn"
"Cycle 23"	"1558"	"serie_navn"
"Cycle 24"	"1515"	"serie_navn"
"Ordinationer før behandlingsstart"	"1454"	"serie_navn"
"1"	"35310"	"serie_nummer"
"2"	"22618"	"serie_nummer"
"3"	"22187"	"serie_nummer"
"4"	"21890"	"serie_nummer"
"5"	"20502"	"serie_nummer"
"6"	"19460"	"serie_nummer"
"7"	"12004"	"serie_nummer"
"8"	"10621"	"serie_nummer"
"9"	"9134"	"serie_nummer"
"10"	"8033"	"serie_nummer"
"11"	"7676"	"serie_nummer"
"12"	"6920"	"serie_nummer"
"13"	"5483"	"serie_nummer"
"14"	"4951"	"serie_nummer"
"15"	"4679"	"serie_nummer"
"16"	"3893"	"serie_nummer"
"17"	"3639"	"serie_nummer"
"18"	"3409"	"serie_nummer"
"19"	"3054"	"serie_nummer"
"20"	"2790"	"serie_nummer"
"0"	"2492"	"serie_nummer"
"21"	"2200"	"serie_nummer"
"22"	"2075"	"serie_nummer"
"23"	"1891"	"serie_nummer"
"24"	"1798"	"serie_nummer"
"Fuldført"	"112019"	"serie_status"
"Planlagt"	"102089"	"serie_status"
"Startet"	"31870"	"serie_status"
"Slettet"	"9350"	"serie_status"
"2025-04-28 00:00:00"	"312"	"serie_start"
"2025-06-23 00:00:00"	"245"	"serie_start"
"2025-05-26 00:00:00"	"234"	"serie_start"
"2025-04-30 00:00:00"	"223"	"serie_start"
"2025-06-02 00:00:00"	"219"	"serie_start"
"2025-03-31 00:00:00"	"219"	"serie_start"
"2025-04-14 00:00:00"	"216"	"serie_start"
"2025-04-07 00:00:00"	"214"	"serie_start"
"2025-04-02 00:00:00"	"210"	"serie_start"
"2024-01-08 00:00:00"	"209"	"serie_start"
"2025-04-22 00:00:00"	"207"	"serie_start"
"2025-05-28 00:00:00"	"207"	"serie_start"
"2025-04-29 00:00:00"	"206"	"serie_start"
"2025-04-24 00:00:00"	"206"	"serie_start"
"2025-06-05 00:00:00"	"206"	"serie_start"
"2024-01-30 00:00:00"	"205"	"serie_start"
"2024-01-03 00:00:00"	"204"	"serie_start"
"2024-04-04 00:00:00"	"204"	"serie_start"
"2025-04-03 00:00:00"	"203"	"serie_start"
"2025-04-10 00:00:00"	"203"	"serie_start"
"2024-02-15 00:00:00"	"201"	"serie_start"
"2025-07-21 00:00:00"	"201"	"serie_start"
"2024-02-05 00:00:00"	"199"	"serie_start"
"2024-03-14 00:00:00"	"198"	"serie_start"
"2025-08-18 00:00:00"	"197"	"serie_start"
"2024-01-24"	"172557"	"date_received"
"2025-04-24"	"56139"	"date_received"
""	"26632"	"date_received"
"2024-05-02 10:18:01.116893"	"172557"	"datetime_created"
"2025-05-15 15:23:36.4152"	"56139"	"datetime_created"
"2025-12-15 15:07:40.988731"	"26632"	"datetime_created"
